PID,Burst Time,Arrival Time,Waiting Time,Turnaround Time
1,17,0,00,17
2,15,1,16,31
3,4,7,25,29
4,7,11,25,32
5,20,18,25,45
6,8,20,43,51
7,18,26,45,63
8,20,35,54,74
9,19,43,66,85
10,18,48,80,98
11,2,54,92,94
12,18,62,86,104
13,9,72,94,103
14,17,77,98,115
15,11,87,105,116
16,10,97,106,116
17,15,102,111,126
18,5,103,125,130
19,17,111,122,139
20,12,118,132,144
21,5,122,140,145
22,9,130,137,146
23,4,135,141,145
24,7,141,139,146
25,10,150,137,147
26,3,156,141,144
27,20,161,139,159
28,6,171,149,155
29,14,177,149,163
30,4,182,158,162
31,1,184,160,161
32,3,192,153,156
33,2,197,151,153
34,13,200,150,163
35,2,205,158,160
36,17,214,151,168
37,3,216,166,169
38,15,220,165,180
39,17,222,178,195
40,3,232,185,188
41,5,238,182,187
42,17,239,186,203
43,9,246,196,205
44,19,250,201,220
45,5,258,212,217
46,4,264,211,215
47,1,268,211,212
48,15,275,205,220
49,8,277,218,226
50,4,280,223,227
51,16,282,225,241
52,1,287,236,237
53,4,291,233,237
54,9,292,236,245
55,3,294,243,246
56,14,299,241,255
57,3,300,254,257
58,13,303,254,267
59,16,307,263,279
60,9,308,278,287
61,4,309,286,290
62,3,315,284,287
63,12,318,284,296
64,9,320,294,303
65,14,323,300,314
66,2,325,312,314
67,3,327,312,315
68,20,333,309,329
69,10,338,324,334
70,4,339,333,337
71,19,340,336,355
72,5,345,350,355
73,11,349,351,362
74,6,350,361,367
75,19,351,366,385
76,11,360,376,387
77,3,363,384,387
78,5,370,380,385
79,13,375,380,393
80,10,381,387,397
81,8,383,395,403
82,12,385,401,413
83,2,389,409,411
84,5,396,404,409
85,6,400,405,411
86,19,402,409,428
87,12,412,418,430
88,4,421,421,425
89,20,428,418,438
90,1,430,436,437
91,20,435,432,452
92,7,442,445,452
93,5,443,451,456
94,19,450,449,468
95,11,456,462,473
96,5,462,467,472
97,20,466,468,488
98,20,467,487,507
99,12,469,505,517
100,12,479,507,519
101,11,481,517,528
102,2,490,519,521
103,16,500,511,527
104,20,507,520,540
105,18,517,530,548
106,11,521,544,555
107,7,523,553,560
108,7,533,550,557
109,14,537,553,567
110,7,541,563,570
111,3,543,568,571
112,15,544,570,585
113,2,547,582,584
114,3,552,579,582
115,2,553,581,583
116,7,561,575,582
117,18,562,581,599
118,20,568,593,613
119,2,570,611,613
120,18,577,606,624
121,19,583,618,637
122,9,591,629,638
123,12,601,628,640
124,10,603,638,648
125,11,610,641,652
126,18,620,642,660
127,2,623,657,659
128,10,628,654,664
129,3,630,662,665
130,16,637,658,674
131,14,647,664,678
132,13,651,674,687
133,19,659,679,698
134,7,665,692,699
135,7,670,694,701
136,4,676,695,699
137,9,677,698,707
138,19,684,700,719
139,7,690,713,720
140,14,694,716,730
141,6,700,724,730
142,4,701,729,733
143,13,707,727,740
144,12,708,739,751
145,11,718,741,752
146,2,727,743,745
147,1,734,738,739
148,10,744,729,739
149,15,753,730,745
150,18,762,736,754
151,4,769,747,751
152,9,779,741,750
153,7,789,740,747
154,10,798,738,748
155,8,801,745,753
156,20,811,743,763
157,4,817,757,761
158,14,823,755,769
159,1,830,762,763
160,8,836,757,765
161,12,845,756,768
162,14,850,763,777
163,3,854,773,776
164,5,864,766,771
165,9,874,761,770
166,4,881,763,767
167,14,887,761,775
168,4,894,768,772
169,9,904,762,771
170,8,913,762,770
171,14,923,760,774
172,8,928,769,777
173,18,932,773,791
174,15,942,781,796
175,7,950,788,795
176,2,955,790,792
177,11,964,783,794
178,11,973,785,796
179,13,975,794,807
180,3,979,803,806
181,4,985,800,804
182,13,986,803,816
183,13,989,813,826
184,10,992,823,833
185,1,995,830,831
186,17,998,828,845
187,18,1002,841,859
188,10,1005,856,866
189,17,1010,861,878
190,14,1012,876,890
191,3,1014,888,891
192,3,1016,889,892
193,9,1025,883,892
194,20,1026,891,911
195,14,1028,909,923
196,5,1030,921,926
197,11,1038,918,929
198,10,1042,925,935
199,7,1043,934,941
200,5,1049,935,940
