PID,Burst Time,Arrival Time,Waiting Time,Turnaround Time
1,17,0,00,17
3,4,7,10,14
4,7,11,10,17
6,8,20,08,16
2,15,1,35,50
7,18,26,25,43
11,2,54,15,17
10,18,48,23,41
13,9,72,17,26
16,10,97,01,11
18,5,103,05,10
15,11,87,26,37
21,5,122,02,07
20,12,118,11,23
23,4,135,06,10
24,7,141,04,11
22,9,130,22,31
26,3,156,05,08
25,10,150,14,24
28,6,171,03,09
29,14,177,03,17
31,1,184,10,11
32,3,192,03,06
33,2,197,01,03
30,4,182,18,22
34,13,200,04,17
35,2,205,12,14
37,3,216,03,06
17,15,102,120,135
40,3,232,05,08
41,5,238,02,07
38,15,220,25,40
45,5,258,02,07
46,4,264,01,05
47,1,268,01,02
43,9,246,24,33
49,8,277,02,10
52,1,287,00,01
50,4,280,08,12
53,4,291,01,05
55,3,294,02,05
54,9,292,07,16
57,3,300,08,11
61,4,309,02,06
62,3,315,00,03
60,9,308,10,19
66,2,325,02,04
67,3,327,02,05
64,9,320,12,21
70,4,339,02,06
72,5,345,00,05
74,6,350,00,06
69,10,338,18,28
77,3,363,03,06
73,11,349,20,31
78,5,370,10,15
81,8,383,02,10
83,2,389,04,06
80,10,381,14,24
84,5,396,09,14
85,6,400,10,16
76,11,360,56,67
88,4,421,06,10
90,1,430,01,02
63,12,318,114,126
93,5,443,01,06
92,7,442,07,14
95,11,456,00,11
96,5,462,05,10
82,12,385,87,99
101,11,481,03,14
102,2,490,05,07
87,12,412,85,97
99,12,469,40,52
106,11,521,00,11
107,7,523,09,16
108,7,533,06,13
111,3,543,03,06
113,2,547,02,04
110,7,541,10,17
115,2,553,05,07
114,3,552,08,11
116,7,561,02,09
119,2,570,00,02
100,12,479,93,105
58,13,303,281,294
122,9,591,06,15
124,10,603,03,13
125,11,610,06,17
127,2,623,04,06
128,10,628,01,11
129,3,630,09,12
123,12,601,41,53
79,13,375,279,292
134,7,665,02,09
135,7,670,04,11
136,4,676,05,09
137,9,677,08,17
139,7,690,04,11
142,4,701,00,04
141,6,700,05,11
144,12,708,03,15
145,11,718,05,16
147,1,734,00,01
146,2,727,08,10
132,13,651,86,99
148,10,744,06,16
143,13,707,53,66
151,4,769,04,08
56,14,299,478,492
153,7,789,02,09
152,9,779,19,28
155,8,801,06,14
154,10,798,17,27
157,4,817,08,12
65,14,323,506,520
159,1,830,13,14
160,8,836,08,16
161,12,845,07,19
163,3,854,10,13
164,5,864,03,08
109,14,537,335,349
166,4,881,05,09
165,9,874,16,25
168,4,894,05,09
131,14,647,256,270
170,8,913,04,12
169,9,904,21,30
172,8,928,06,14
140,14,694,248,262
176,2,955,01,03
175,7,950,08,15
177,11,964,01,12
178,11,973,03,14
180,3,979,08,11
181,4,985,05,09
184,10,992,02,12
185,1,995,09,10
188,10,1005,00,10
191,3,1014,01,04
192,3,1016,02,05
179,13,975,46,59
196,5,1030,04,09
193,9,1025,14,23
199,7,1043,05,12
200,5,1049,06,11
198,10,1042,18,28
197,11,1038,32,43
182,13,986,95,108
183,13,989,105,118
158,14,823,284,298
162,14,850,271,285
167,14,887,248,262
171,14,923,226,240
190,14,1012,151,165
195,14,1028,149,163
48,15,275,916,931
112,15,544,662,677
149,15,753,468,483
174,15,942,294,309
51,16,282,969,985
59,16,307,960,976
103,16,500,783,799
130,16,637,662,678
14,17,77,1238,1255
19,17,111,1221,1238
36,17,214,1135,1152
39,17,222,1144,1161
42,17,239,1144,1161
186,17,998,402,419
189,17,1010,407,424
12,18,62,1372,1390
105,18,517,935,953
117,18,562,908,926
120,18,577,911,929
126,18,620,886,904
150,18,762,762,780
173,18,932,610,628
187,18,1002,558,576
9,19,43,1535,1554
44,19,250,1347,1366
71,19,340,1276,1295
75,19,351,1284,1303
86,19,402,1252,1271
94,19,450,1223,1242
121,19,583,1109,1128
133,19,659,1052,1071
138,19,684,1046,1065
5,20,18,1731,1751
8,20,35,1734,1754
27,20,161,1628,1648
68,20,333,1476,1496
89,20,428,1401,1421
91,20,435,1414,1434
97,20,466,1403,1423
98,20,467,1422,1442
104,20,507,1402,1422
118,20,568,1361,1381
156,20,811,1138,1158
194,20,1026,943,963
